"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was versteht man unter pyrotechnischen Seenotsignalen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Notsignale, die mit Hilfe explosionsgefährlicher Stoffe ausgelöst werden.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was sind explosionsgefährliche Stoffe?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Feste oder flüssige Stoffe und Zubereitungen, die durch eine nicht außergewöhnliche Beanspruchung (thermisch, mechanisch oder andere) zur Explosion gebracht werden können.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wann dürfen pyrotechnische Notsignale verwendet werden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Nur im Notfall, d. h. unter anderem, wenn angezeigt werden soll, dass Gefahr für Leib und Leben besteht und Hilfe erforderlich ist.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was darf zur pyrotechnischen Notsignalgebung verwendet werden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Die Signalpistole Kaliber 4 (26,5 mm) und die von der Physikalisch-Technischen Bundesanstalt (PTB) zugelassenen Signalwaffen einschließlich Munition bzw. die von der Bundesanstalt für Materialforschung und -prüfung (BAM) zugelassenen sonstigen Notsignale.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Arten von Zündern werden bei Not-Handfackeln gewöhnlich verwendet und wie funktionieren sie?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>1. Reibkopf-Zündung – funktioniert wie ein Streichholz, zündet mit einer Verzögerung direkt den Leuchtsatz (nicht mehr im deutschen Handel).\n2. Reißzünder – ein Draht im Inneren wird durch einen reibempfindlichen pyrotechnischen Anzündsatz gezogen, der dann den eigentlichen Signalsatz zündet.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist sicherheitstechnisch bei der Verwendung einer Seenot-Handfackel zu beachten?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>1. Gebrauchsanweisung beachten.\n2. In jedem Fall die brennende Fackel nach Lee waagerecht so halten, dass versprühter Abbrand keine Verletzungen (Hand, Augen) verursacht oder die Yacht beschädigt.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist bei der Verwendung von Seenot-Rauchsignalen zu beachten?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Rauchsignale nur am Tage und bei geringen Windstärken verwenden. Die Anzündung erfolgt durch eine Reißschnur, die unter einer abschraubbaren Schutzkappe liegt. Nach der Zündung ist das Rauchsignal zur Leeseite außenbords zu werfen.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche pyrotechnischen Seenot-Signalmittel werden an Bord verwendet?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Signalraketen, Fallschirmraketen, Handfackeln und Rauchsignale.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wann werden Notsignale verwendet?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Im Notfall, wenn Hilfe erforderlich ist.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wann sind Rauchsignale zu verwenden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Nur am Tag und erst wenn Hilfe gesichtet worden ist.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Farbe ist bei Signalraketen international als Notsignal zu verwenden?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Rot.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Weiß.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Grün.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Rot.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wann dürfen Notsignale verwendet werden?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Ausschließlich wenn alle anderen Kommunikationsmittel ausgefallen sind.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>In Notfällen, wenn unter anderem Leib und Leben von Personen in Gefahr sind und dringend fremde Hilfe benötigt wird.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>In Notfällen, wenn bedeutende Sachwerte in Gefahr sind und dringend fremde Hilfe benötigt wird.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B, C</div><div style='margin-top:4px;'>In Notfällen, wenn unter anderem Leib und Leben von Personen in Gefahr sind und dringend fremde Hilfe benötigt wird.</div><div style='margin-top:4px;'>In Notfällen, wenn bedeutende Sachwerte in Gefahr sind und dringend fremde Hilfe benötigt wird.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wie lang ist die Verbrauchsdauer pyrotechnischer Notsignale bei sachgemäßer Lagerung?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Soweit auf dem einzelnen Gegenstand nichts anderes vermerkt ist, max. 3 Jahre.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was verkürzt die durch den Hersteller vorgegebene Verbrauchsdauer pyrotechnischer Notsignale oder beeinträchtigt ihre sichere Verwendung?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>1. Feuchtigkeit,\n2. Korrosion,\n3. hohe Lagertemperaturen,\n4. mechanische Beschädigung.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was machen Sie mit überlagerten pyrotechnischen Notsignalen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Über den Munitionshandel zurückgeben oder Delaborierbetrieben übergeben (keinesfalls als Feuerwerkskörper verwenden).</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Signalwaffen darf der Inhaber eines Kleinen Waffenscheins führen?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Nur amtlich beschossene Signalwaffen im Kaliber unter 12 mm.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Nur Signalwaffen mit dem Zulassungszeichen „PTB im Kreis“.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Alle.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B</div><div style='margin-top:4px;'>Nur Signalwaffen mit dem Zulassungszeichen „PTB im Kreis“.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wie sind pyrotechnische Seenotsignale während der Fahrt aufzubewahren?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>1. Kühl und trocken,\n2. leicht zugänglich in unverschlossenen Behältern.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Signalwaffen können frei erworben und an Bord mitgeführt werden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Signalwaffen (SRS-Waffen) mit dem Bauartzulassungszeichen der Physikalisch-Technischen Bundesanstalt („PTB im Kreis“).</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wozu berechtigt eine Waffenbesitzkarte?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Mit entsprechendem Voreintrag zum Erwerb, sowie zum Besitz einer Signalpistole und zum Erwerb der dazugehörigen Munition bei entsprechendem Eintrag.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wo ist eine Waffenbesitzkarte zu beantragen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Bei der zuständigen Behörde des Wohnortes (nicht des Liegeplatzes).</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Worüber sollten Sie sich sofort nach dem Erwerb pyrotechnischer Seenotsignale informieren?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Gebrauchsanweisung sorgfältig bis zum Ende lesen – nicht erst im Notfall.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Hinweise finden sich auf den pyrotechnischen Seenotsignalen?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Anweisungen über die Handhabung.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche pyrotechnischen Seenotsignale können erlaubnisfrei erworben, aufbewahrt und verwendet werden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Die der Unterklasse T1, d.h. „Handfackeln rot“ und bestimmte Rauchsignale, Abschussgeräte ohne Schusswaffeneigenschaft, von jedem, der das 18. Lebensjahr vollendet hat.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche erlaubnispflichtigen pyrotechnischen Seenotsignale dürfen Wassersportler mit einem im Führerschein eingedruckten Befreiungsvermerk bzw. Fachkundenachweis erwerben?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Die der Unterklasse T2, d.h. „Signalraketen rot“, „Fallschirmsignalraketen rot“ und bestimmte Rauchsignale.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wie können pyrotechnische Seenotsignale erworben werden?</div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Antwort:</b></div><div style='margin-top:4px;'>Durch Kauf oder Überlassung unter Vorlage der jeweiligen Erwerbsberechtigung.</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Welche Signalmittel sind für jedermann frei erhältlich?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Signalpfeifen.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Knicklichter / Leuchtstäbe.</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Pressluftfanfaren.</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A, B, C</div><div style='margin-top:4px;'>Signalpfeifen.</div><div style='margin-top:4px;'>Knicklichter / Leuchtstäbe.</div><div style='margin-top:4px;'>Pressluftfanfaren.</div></div>"
