Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Was versteht man unter pyrotechnischen Seenotsignalen?;;;;;Notsignale, die mit Hilfe explosionsgefährlicher Stoffe ausgelöst werden.
Was sind explosionsgefährliche Stoffe?;;;;;Feste oder flüssige Stoffe und Zubereitungen, die durch eine nicht außergewöhnliche Beanspruchung (thermisch, mechanisch oder andere) zur Explosion gebracht werden können.
Wann dürfen pyrotechnische Notsignale verwendet werden?;;;;;Nur im Notfall, d. h. unter anderem, wenn angezeigt werden soll, dass Gefahr für Leib und Leben besteht und Hilfe erforderlich ist.
Was darf zur pyrotechnischen Notsignalgebung verwendet werden?;;;;;Die Signalpistole Kaliber 4 (26,5 mm) und die von der Physikalisch-Technischen Bundesanstalt (PTB) zugelassenen Signalwaffen einschließlich Munition bzw. die von der Bundesanstalt für Materialforschung und -prüfung (BAM) zugelassenen sonstigen Notsignale.
Welche Arten von Zündern werden bei Not-Handfackeln gewöhnlich verwendet und wie funktionieren sie?;;;;;1. Reibkopf-Zündung – funktioniert wie ein Streichholz, zündet mit einer Verzögerung direkt den Leuchtsatz (nicht mehr im deutschen Handel).\n2. Reißzünder – ein Draht im Inneren wird durch einen reibempfindlichen pyrotechnischen Anzündsatz gezogen, der dann den eigentlichen Signalsatz zündet.
Was ist sicherheitstechnisch bei der Verwendung einer Seenot-Handfackel zu beachten?;;;;;1. Gebrauchsanweisung beachten.\n2. In jedem Fall die brennende Fackel nach Lee waagerecht so halten, dass versprühter Abbrand keine Verletzungen (Hand, Augen) verursacht oder die Yacht beschädigt.
Was ist bei der Verwendung von Seenot-Rauchsignalen zu beachten?;;;;;Rauchsignale nur am Tage und bei geringen Windstärken verwenden. Die Anzündung erfolgt durch eine Reißschnur, die unter einer abschraubbaren Schutzkappe liegt. Nach der Zündung ist das Rauchsignal zur Leeseite außenbords zu werfen.
Welche pyrotechnischen Seenot-Signalmittel werden an Bord verwendet?;;;;;Signalraketen, Fallschirmraketen, Handfackeln und Rauchsignale.
Wann werden Notsignale verwendet?;;;;;Im Notfall, wenn Hilfe erforderlich ist.
Wann sind Rauchsignale zu verwenden?;;;;;Nur am Tag und erst wenn Hilfe gesichtet worden ist.
Welche Farbe ist bei Signalraketen international als Notsignal zu verwenden?;Rot.;Weiß.;Grün.;;Rot.
Wann dürfen Notsignale verwendet werden?;In Notfällen, wenn unter anderem Leib und Leben von Personen in Gefahr sind und dringend fremde Hilfe benötigt wird.;In Notfällen, wenn bedeutende Sachwerte in Gefahr sind und dringend fremde Hilfe benötigt wird.;Ausschließlich wenn alle anderen Kommunikationsmittel ausgefallen sind.;;In Notfällen, wenn unter anderem Leib und Leben von Personen in Gefahr sind und dringend fremde Hilfe benötigt wird. | In Notfällen, wenn bedeutende Sachwerte in Gefahr sind und dringend fremde Hilfe benötigt wird.
Wie lang ist die Verbrauchsdauer pyrotechnischer Notsignale bei sachgemäßer Lagerung?;;;;;Soweit auf dem einzelnen Gegenstand nichts anderes vermerkt ist, max. 3 Jahre.
Was verkürzt die durch den Hersteller vorgegebene Verbrauchsdauer pyrotechnischer Notsignale oder beeinträchtigt ihre sichere Verwendung?;;;;;1. Feuchtigkeit,\n2. Korrosion,\n3. hohe Lagertemperaturen,\n4. mechanische Beschädigung.
Was machen Sie mit überlagerten pyrotechnischen Notsignalen?;;;;;Über den Munitionshandel zurückgeben oder Delaborierbetrieben übergeben (keinesfalls als Feuerwerkskörper verwenden).
Welche Signalwaffen darf der Inhaber eines Kleinen Waffenscheins führen?;Alle.;Nur amtlich beschossene Signalwaffen im Kaliber unter 12 mm.;Nur Signalwaffen mit dem Zulassungszeichen „PTB im Kreis“.;;Nur Signalwaffen mit dem Zulassungszeichen „PTB im Kreis“.
Wie sind pyrotechnische Seenotsignale während der Fahrt aufzubewahren?;;;;;1. Kühl und trocken,\n2. leicht zugänglich in unverschlossenen Behältern.
Welche Signalwaffen können frei erworben und an Bord mitgeführt werden?;;;;;Signalwaffen (SRS-Waffen) mit dem Bauartzulassungszeichen der Physikalisch-Technischen Bundesanstalt („PTB im Kreis“).
Wozu berechtigt eine Waffenbesitzkarte?;;;;;Mit entsprechendem Voreintrag zum Erwerb, sowie zum Besitz einer Signalpistole und zum Erwerb der dazugehörigen Munition bei entsprechendem Eintrag.
Wo ist eine Waffenbesitzkarte zu beantragen?;;;;;Bei der zuständigen Behörde des Wohnortes (nicht des Liegeplatzes).
Worüber sollten Sie sich sofort nach dem Erwerb pyrotechnischer Seenotsignale informieren?;;;;;Gebrauchsanweisung sorgfältig bis zum Ende lesen – nicht erst im Notfall.
Welche Hinweise finden sich auf den pyrotechnischen Seenotsignalen?;;;;;Anweisungen über die Handhabung.
Welche pyrotechnischen Seenotsignale können erlaubnisfrei erworben, aufbewahrt und verwendet werden?;;;;;Die der Unterklasse T1, d.h. „Handfackeln rot“ und bestimmte Rauchsignale, Abschussgeräte ohne Schusswaffeneigenschaft, von jedem, der das 18. Lebensjahr vollendet hat.
Welche erlaubnispflichtigen pyrotechnischen Seenotsignale dürfen Wassersportler mit einem im Führerschein eingedruckten Befreiungsvermerk bzw. Fachkundenachweis erwerben?;;;;;Die der Unterklasse T2, d.h. „Signalraketen rot“, „Fallschirmsignalraketen rot“ und bestimmte Rauchsignale.
Wie können pyrotechnische Seenotsignale erworben werden?;;;;;Durch Kauf oder Überlassung unter Vorlage der jeweiligen Erwerbsberechtigung.
Welche Signalmittel sind für jedermann frei erhältlich?;Knicklichter / Leuchtstäbe.;Signalpfeifen.;Pressluftfanfaren.;;Knicklichter / Leuchtstäbe. | Signalpfeifen. | Pressluftfanfaren.
Darf mit einem Bootsführerschein mit eingetragenem Befreiungsvermerk nach dem Waffen- und Sprengstoffgesetz Seenotsignalmunition im Kaliber 4 erworben werden?;Nein, hierfür ist eine Waffenbesitzkarte mit eingetragener Munitionserwerbsberechtigung für das Kaliber 4 erforderlich.;Nein, hierfür ist eine Waffenbesitzkarte mit einer eingetragenen Signalwaffe im Kaliber 4 erforderlich.;Ja, die Waffenbesitzkarte wird nur für den Waffenerwerb benötigt und dient als Legitimation für den Waffenbesitz.;;Nein, hierfür ist eine Waffenbesitzkarte mit eingetragener Munitionserwerbsberechtigung für das Kaliber 4 erforderlich.
Nennen Sie sechs pyrotechnische Notsignale!;;;;;1. Signalraketen, rot.\n2. Fallschirmsignalraketen, rot.\n3. Handfackeln, rot.\n4. Rauchsignale, orange.\n5. Lichtrauchsignale.\n6. Blitz-Knall-Patronen.
Welche Farben haben pyrotechnische Notsignale?;;;;;"Leuchtsignale rot; Rauchsignale orange."
Was ist bei allen steigenden Seenotsignalen unbedingt zu beachten?;;;;;1. Auf freies Schussfeld achten (z.B. Mast und Segel),\n2. Signalgerät senkrecht (ggf. in den Wind geneigt) nach oben halten,\n3. beim Handhaben und Abfeuern nicht auf Personen richten und selbst nicht mit Körperteilen oder Kleidung vor die Mündung kommen,\n4. nicht an Versagern hantieren, sondern diese über Bord werfen.
Was ist bei steigenden Notsignalen zu beachten?;Freies Schussfeld.;Windrichtung und Abschusswinkel.;Keine entflammbaren Gegenstände im Gefahrenbereich.;;Freies Schussfeld. | Windrichtung und Abschusswinkel. | Keine entflammbaren Gegenstände im Gefahrenbereich.
Worin liegt die besondere Gefährlichkeit pyrotechnischer Signalsätze?;;;;;Es besteht Explosions-, Feuer- und Verletzungsgefahr. Sie brennen auch im Wasser weiter.
Welche Vorteile haben Signalraketen bzw. Signalpatronen, die mit Fallschirmen ausgerüstet sind, gegenüber Signalsternen?;;;;;"Auf Grund geringerer Sinkgeschwindigkeit (5 m/s) ist eine längere Brenndauer möglich; dadurch haben sie einen höheren Aufmerksamkeitswert."
Woraufhin sind pyrotechnische Seenotsignale ständig zu überwachen, damit die Funktionsfähigkeit gewährleistet ist?;;;;;1. Verbrauchsdauer/Verfallsdatum beachten,\n2. auf Korrosion oder Beschädigung achten.
Woran erkennen Sie an einem pyrotechnischen Notsignal, um welche Unterklasse es sich handelt?;;;;;Am Zulassungszeichen: BAM-PT1 oder BAM-PT2.
