Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Was ist eine Seefunkstelle?";"Funkstelle, die am GMDSS teilnehmen darf";"Seefunkgerät mit Antenne für UKW- und Kurzwelle";"Typgeprüfte Funkstelle ohne ATIS";"Funkstelle des mobilen Seefunkdienstes an Bord eines nicht dauernd verankerten Seefahrzeuges";"Funkstelle des mobilen Seefunkdienstes an Bord eines nicht dauernd verankerten Seefahrzeuges"
"Welches Funkzeugnis ist auf einem deutschen Sportfahrzeug mit Seefunkanlage für den Schiffsführer vorgeschrieben?";"SRC bis Hoheitsgewässer, darüber hinaus LRC";"Keines, wenn jemand an Bord funken kann";"Funkzeugnis zum Bedienen der eingebauten Anlage, zB SRC oder LRC";"SRC zusätzlich zum LRC bei UKW-Anlage";"Funkzeugnis zum Bedienen der eingebauten Anlage, zB SRC oder LRC"
"Welche Funkanlagen darf der Inhaber eines SRC bedienen?";"UKW-Funkanlagen im Seefunkdienst auf nicht funkausrüstungspflichtigen Fahrzeugen und auf Traditionsschiffen";"UKW-Funkanlagen für See- und Luftfunkstellen";"UKW-Funkanlagen auf Sportbooten im Seefunkdienst und Binnenschifffahrtsfunk";"UKW-Funkanlagen auf funkausrüstungspflichtigen und nicht funkausrüstungspflichtigen Seeschiffen";"UKW-Funkanlagen im Seefunkdienst auf nicht funkausrüstungspflichtigen Fahrzeugen und auf Traditionsschiffen"
"Welche Sportboote müssen mit einer UKW-Seefunkanlage ausgerüstet sein?";"Sportboote über 12 m Länge";"Sportboote mit Antriebsmaschine über 3,68 kW";"Gewerbsmäßig genutzte Sportboote mit 3,68 kW und mehr";"Gewerbsmäßig genutzte Sportboote ab 12 m Länge";"Gewerbsmäßig genutzte Sportboote ab 12 m Länge"
"Welche rechtlichen Voraussetzungen gelten für den Betrieb einer Seefunkstelle auf Sportfahrzeugen?";"Zuteilung und Sportbootführerschein";"Zuteilung, zugelassene Funkgeräte und ausreichendes Seefunkzeugnis des Fahrzeugführers";"Zuteilung und Seefunkzeugnis einer Person an Bord";"Zuteilung und Sportbootführerschein des Fahrzeugführers";"Zuteilung, zugelassene Funkgeräte und ausreichendes Seefunkzeugnis des Fahrzeugführers"
"Welche Unterlagen müssen bei einer Überprüfung einer Seefunkstelle vorgelegt werden?";"Zuteilung und Sportbootführerschein";"Seefunkzeugnis eines Besatzungsmitglieds und IBS";"Zuteilung und Seefunkzeugnis des Fahrzeugführers";"Seefunkzeugnis und Eigentumsnachweis";"Zuteilung und Seefunkzeugnis des Fahrzeugführers"
"Welche Stelle stellt in Deutschland die Ship Station Licence aus?";"BSH Rostock";"WSA Hamburg";"Bundesnetzagentur Außenstelle Hamburg";"Bundesnetzagentur Außenstelle Mülheim an der Ruhr";"Bundesnetzagentur Außenstelle Hamburg"
"Welche Urkunde muss auf einem Sportfahrzeug mitgeführt werden?";"Zuteilungsurkunde in Kopie";"Gerätezulassungsurkunde im Original";"Gerätezulassungsurkunde in Kopie";"Zuteilungsurkunde im Original";"Zuteilungsurkunde im Original"
"Was ist bei einer Änderung des Schiffsnamens in Bezug auf die Seefunkstelle zu tun?";"Mitteilung an das Amtsgericht";"Mitteilung an das BSH";"Schriftliche Mitteilung an die Bundesnetzagentur zur Änderung der Ship Station Licence";"Mitteilung an die Zentrale Verwaltungsstelle";"Schriftliche Mitteilung an die Bundesnetzagentur zur Änderung der Ship Station Licence"
"Was ist beim Austausch einer UKW-Sprechfunkanlage gegen eine UKW-GMDSS-Anlage zu veranlassen?";"Mitteilung an das Amtsgericht";"Mitteilung an die Bundesnetzagentur";"Mitteilung an die Zentrale Verwaltungsstelle";"Mitteilung an das BSH";"Mitteilung an die Bundesnetzagentur"
