Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Was bedeutet DSC im mobilen Seefunkdienst?";"Digitales System für die Telekommunikation an Bord";"Digitaler Selektivruf";"Funküberwachung auf zwei Funkkanälen (Dual Watch)";"Gegensprechen auf zwei Frequenzen";"Digitaler Selektivruf"
"Was ist ein Digitaler Selektivruf?";"Aussendung eines digitalen Anrufs auf Kanal 16";"Digitale Aussendung, die bei der gerufenen Funkstelle ein optisches und/oder akustisches Signal auslöst";"Funkverkehr im GMDSS auf den dafür vorgesehenen Kanälen";"Funkaussendung an eine ausgewählte Funkstelle";"Digitale Aussendung, die bei der gerufenen Funkstelle ein optisches und/oder akustisches Signal auslöst"
"Welches technische Verfahren im GMDSS ermöglicht einer Seefunkstelle die Verkehrsaufnahme Schiff–Küste und Schiff–Schiff?";"NAVTEX";"COSPAS-SARSAT";"DSC";"SMS";"DSC"
"Welcher Unterschied besteht in der Reichweite zwischen analoger Übertragung (Sprechfunk) und digitaler Übertragung (DSC) im UKW-Seefunkbereich?";"Bei digitaler Übertragung kürzere Reichweite";"Bei digitaler Übertragung vierfache Reichweite";"Bei digitaler Übertragung besteht kein Unterschied";"Bei digitaler Übertragung deutlich größere Reichweite";"Bei digitaler Übertragung besteht kein Unterschied"
"Welcher UKW-Kanal wird im GMDSS für die digitale Ankündigung einer Dringlichkeitsmeldung benutzt?";"Kanal 16";"Kanal 70";"Kanal 06";"Kanal 10";"Kanal 70"
"Auf welchem UKW-Kanal erfolgt die Alarmierung mittels DSC?";"Kanal 10";"Kanal 70";"Kanal 16";"Kanal 06";"Kanal 70"
"Wie wird eine mit DSC-Einrichtungen ausgerüstete Seefunkstelle gekennzeichnet?";"Schiffsname, Heimathafen, Rufzeichen";"Rufnummer des mobilen Seefunkdienstes (MMSI), Schiffsname";"Registriernummer des Schiffszertifikats, Rufzeichen";"Schiffsname, Rufzeichen, Rufnummer des mobilen Seefunkdienstes (MMSI)";"Schiffsname, Rufzeichen, Rufnummer des mobilen Seefunkdienstes (MMSI)"
"Der mit einem DSC-Gerät aufgenommene Notalarm wird…";"nicht gespeichert, sondern ausgedruckt";"gespeichert, wenn im Speicher noch genügend Platz ist";"automatisch gespeichert";"manuell gespeichert";"automatisch gespeichert"
"Was wird als Maritime Mobile Service Identity (MMSI) bezeichnet?";"Aussendung, die die Sicherheit der Schifffahrt betrifft";"Landeskennung einer Seefunkstelle (z.B. 211)";"Rufnummer im Seefunkdienst";"Maritimes Informationssystem";"Rufnummer im Seefunkdienst"
"Wie lauten die Maritime Identification Digits (MID) für die Bundesrepublik Deutschland?";"218 und 226";"211 und 219";"211 und 218";"218 und 224";"211 und 218"
"Welche Urkunde enthält die eigene Seefunkstellen-Rufnummer (MMSI)?";"Internationaler Bootsschein";"Zuteilungsurkunde (Ship Station Licence)";"Gerätezulassungsurkunde";"Schiffszertifikat";"Zuteilungsurkunde (Ship Station Licence)"
"Wie setzt sich die Seefunkstellen-Rufnummer (MMSI) zusammen?";"Neun Ziffern, wobei die erste Ziffer eine Null ist";"Drei Buchstaben und sechs Ziffern";"Neun Ziffern, wobei die ersten drei Ziffern die Seefunkkennzahl (MID) enthalten";"Sieben Ziffern, wobei die ersten beiden Ziffern Nullen sein müssen";"Neun Ziffern, wobei die ersten drei Ziffern die Seefunkkennzahl (MID) enthalten"
"Wie setzt sich die Küstenfunkstellen-Rufnummer (MMSI) zusammen?";"Neun Ziffern, die ersten drei Ziffern enthalten die Seefunkkennzahl (MID)";"Neun Ziffern, die ersten beiden Ziffern Nullen, die nächsten drei Ziffern enthalten die Seefunkkennzahl (MID)";"Internationale Telefonvorwahl plus fünf Ziffern";"Ortsname plus drei Ziffern (MID)";"Neun Ziffern, die ersten beiden Ziffern Nullen, die nächsten drei Ziffern enthalten die Seefunkkennzahl (MID)"
"Welche Art von Funkstelle kennzeichnet die Ziffernfolge 002111240?";"Deutsche EPIRB";"Deutsche Seefunkstelle";"Deutsches SAR-Fahrzeug";"Deutsche Küstenfunkstelle";"Deutsche Küstenfunkstelle"
"Woran ist die Nationalität der Seefunkstelle in der MMSI erkennbar?";"Mittlere drei Ziffern der MMSI";"Letzte drei Ziffern der MMSI";"Seefunkkennzahl (MID)";"Länderkennung aus drei Buchstaben";"Seefunkkennzahl (MID)"
"Durch die Verbindung mit welchem Gerät wird bei einem DSC-Notalarm die aktuelle Position automatisch mit ausgesendet?";"Radargerät";"GPS-Empfänger";"NAVTEX-Empfänger";"UKW-Wachempfänger";"GPS-Empfänger"
