Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Wie wird der Frequenzbereich von 30 bis 300 MHz bezeichnet?";"Kurzwelle (KW/HF)";"Ultrakurzwelle (UKW/VHF)";"Langwelle (LW/LF)";"Mittelwelle (MW/MF)";"Ultrakurzwelle (UKW/VHF)"
"Welches Funkzeugnis muss der Führer eines Sportfahrzeugs oder Traditionsschiffes mit UKW-Seefunkstelle mindestens besitzen, um am GMDSS teilzunehmen?";"Allgemeines Betriebszeugnis für Funker (GOC)";"UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk";"Beschränkt Gültiges Funkbetriebszeugnis (SRC)";"Allgemeines Sprechfunkzeugnis für den Seefunkdienst";"Beschränkt Gültiges Funkbetriebszeugnis (SRC)"
"An welchem Funkdienst darf der Inhaber eines SRC teilnehmen?";"Mobiler Seefunkdienst auf Kurzwelle und Grenzwelle";"Mobiler Seefunkdienst auf Ultrakurzwelle einschließlich Satellitenfunk";"Mobiler Seefunkdienst auf Ultrakurzwelle einschließlich Grenz- und Kurzwelle";"Mobiler Seefunkdienst auf Ultrakurzwelle (UKW/VHF)";"Mobiler Seefunkdienst auf Ultrakurzwelle (UKW/VHF)"
"Was kennzeichnet die Betriebsart Duplex?";"Wechselsprechen auf einer Frequenz";"Gegensprechen auf einer Frequenz";"Wechselsprechen auf zwei Frequenzen";"Gegensprechen auf zwei Frequenzen";"Gegensprechen auf zwei Frequenzen"
"Was kennzeichnet die Betriebsart Simplex?";"Gegensprechen auf zwei Frequenzen";"Wechselsprechen auf zwei Frequenzen";"Wechselsprechen auf einer Frequenz";"Gegensprechen auf einer Frequenz";"Wechselsprechen auf einer Frequenz"
"Welche Betriebsart wird als Semi-Duplex bezeichnet?";"Gegensprechen auf einer Frequenz";"Gegensprechen auf zwei Frequenzen";"Wechselsprechen auf einer Frequenz";"Wechselsprechen auf zwei Frequenzen";"Wechselsprechen auf zwei Frequenzen"
"Welche UKW-Kanäle sind international ausschließlich für den Funkverkehr zwischen Seefunkstellen vorgesehen?";"Kanäle 15 und 17";"Kanäle 16, 69, 70 und 82";"Kanäle 06, 08, 72 und 77";"Kanäle 16 und 18, ersatzweise 70";"Kanäle 06, 08, 72 und 77"
"Für welchen Funkverkehr dürfen die UKW-Kanäle 75 und 76 benutzt werden?";"Funkverkehr unter Behördenfahrzeugen";"Funkverkehr, der ausschließlich See-Land-Verbindungen betrifft";"Funkverkehr, der ausschließlich Land-See-Verbindungen betrifft";"Funkverkehr, der ausschließlich die Navigation betrifft";"Funkverkehr, der ausschließlich die Navigation betrifft"
"Atmosphärische Störungen des Funkverkehrs sind …";"im VHF-Bereich nur bei schräger Antenne vorhanden";"im Seefunkverkehr im VHF-Bereich ein großes Problem";"gleichzeitig im VHF-Bereich und bei NAVTEX vorhanden";"im Seefunkverkehr im VHF-Bereich kein Problem";"im Seefunkverkehr im VHF-Bereich kein Problem"
"Wie breiten sich Ultrakurzwellen (UKW/VHF) aus?";"In der Ionosphäre reflektiert";"Der Erdkrümmung folgend";"Abhängig von der Tageszeit";"Geradlinig und quasioptisch";"Geradlinig und quasioptisch"
"Wie werden die internationalen Kanäle im UKW-Seefunkbereich bezeichnet?";"Kanal 1 bis 28 und 68 bis 88";"Kanal 1 bis 28 und 60 bis 88";"Kanal 1 bis 20 und 68 bis 88";"Kanal 1 bis 28 und 60 bis 87";"Kanal 1 bis 28 und 60 bis 88"
"Wovon hängt die Reichweite einer UKW-Funkanlage hauptsächlich ab?";"Wetter";"Tageszeit";"Antennenhöhe";"Bordnetzspannung";"Antennenhöhe"
"Wie sollen UKW-Antennen ausgerichtet werden?";"Diagonal";"Horizontal";"Radial";"Vertikal";"Vertikal"
"Wodurch kann die Abstrahlung der Sendeenergie einer UKW-Anlage wesentlich beeinträchtigt werden?";"Wetter";"Schräglage des Schiffs";"Metallische Gegenstände in der Nähe des Antennenkabels";"Metallische Gegenstände in der Nähe der Antenne";"Metallische Gegenstände in der Nähe der Antenne"
"Was hat keinen Einfluss auf die Reichweite eines UKW-Handsprechfunkgerätes?";"Geringe Sendeleistung";"Niedrige Antennenhöhe";"Geringer Ladezustand des Akkus";"Schlechtes Wetter";"Schlechtes Wetter"
"Ist das Senden auf UKW in ausländischen Häfen gestattet?";"Es ist immer gestattet";"Nur am Tage erlaubt";"Außer in Notfällen grundsätzlich verboten";"Abhängig von den Vorschriften des jeweiligen Landes";"Abhängig von den Vorschriften des jeweiligen Landes"
