Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
"Was bezeichnet „SAR“?";"Suche und Rettung";"Seenotfunkbake";"Sanitätsdienst";"Radartransponder";"Suche und Rettung"
"Welche Aufgabe hat ein „RCC“ im Seenotfall?";"Koordinierung der im Seenotfall zur Verfügung stehenden Kräfte und Abwicklung des Notverkehrs";"Stationierung von Seenotrettungskreuzern rund um die Uhr";"Alarmierung von SAR-Fahrzeugen im Seenotfall über Satellit";"Erteilung von Ratschlägen an den Havaristen";"Koordinierung der im Seenotfall zur Verfügung stehenden Kräfte und Abwicklung des Notverkehrs"
"Welche Aufgabe hat ein „MRCC“ im Seenotfall?";"Koordinierung der im Seenotfall zur Verfügung stehenden Kräfte";"Bereithaltung von Rettungsfahrzeugen im Seenotfall";"Erarbeitung von Richtlinien für das Verhalten im Seenotfall";"Erteilung von Ratschlägen an den Havaristen";"Koordinierung der im Seenotfall zur Verfügung stehenden Kräfte"
"Was ist „On-Scene Communication“?";"Funkverkehr vor Ort im Seenotfall";"Funkverkehr in Reichweite einer Küstenfunkstelle für UKW";"Funkverkehr im Hafenfunk (Port Radio)";"Funkverkehr von Behördenfahrzeugen";"Funkverkehr vor Ort im Seenotfall"
"Welche Aufgabe hat der „On-Scene Coordinator“ (OSC) im SAR-Fall?";"Leitung der Such- und Rettungsmaßnahmen vor Ort";"Kooperation mit der nächstgelegenen Küstenfunkstelle des Revierfunkdienstes";"Festlegung der DSC-Kanäle zur Verständigung der SAR-Einheiten";"Verbreitung wichtiger SAR-Meldungen rund um die Uhr";"Leitung der Such- und Rettungsmaßnahmen vor Ort"
"Was bedeutet „Funkverkehr vor Ort“?";"Funkverkehr zwischen dem Schiff in Not und den Fahrzeugen, die Hilfe leisten sowie dem Schiff in Not und dem Fahrzeug, das die Suche und Rettung koordiniert";"Funkverkehr zwischen dem Fahrzeug, das die Suche und Rettung koordiniert, und der Küstenfunkstelle";"Funkverkehr zwischen der Küstenfunkstelle und dem On-Scene Coordinator";"Funkverkehr zwischen dem Schiff in Not und in der Nähe befindlichen Luftfunkstellen";"Funkverkehr zwischen dem Schiff in Not und den Fahrzeugen, die Hilfe leisten sowie dem Schiff in Not und dem Fahrzeug, das die Suche und Rettung koordiniert"
"Wer darf das Aussenden einer Notmeldung im Seefunkdienst veranlassen?";"Fahrzeugführer";"Crewmitglied";"Rudergänger";"Rettungsleitstelle";"Fahrzeugführer"
"Auf welchem UKW-Kanal müssen alle mit DSC ausgerüsteten seegehenden Schiffe im Weltweiten Seenot- und Sicherheitsfunksystem (GMDSS) empfangsbereit sein?";"Kanal 70";"Kanal 16";"Kanal 06";"Kanal 10";"Kanal 70"
"Wie lautet das Notzeichen im Sprechfunk?";"MAYDAY";"PAN PAN";"DISTRESS";"SOS";"MAYDAY"
"Womit wird der Notverkehr im Sprechfunk eingeleitet?";"MAYDAY";"Schiffsname";"DISTRESS";"SOS";"MAYDAY"
"Wann liegt ein Seenotfall vor, der das Aussenden des Notzeichens im Sprechfunk rechtfertigt?";"Wenn ein Schiff oder eine Person von einer ernsten und unmittelbaren Gefahr bedroht ist und sofortige Hilfe benötigt";"Wenn ein Schiff manövrierbehindert ist und Hilfe benötigt";"Wenn eine nautische Warnnachricht vorliegt, die unbedingt beachtet werden muss";"Wenn ein medizinischer Notfall vorliegt, der unmittelbare funkärztliche Beratung erfordert";"Wenn ein Schiff oder eine Person von einer ernsten und unmittelbaren Gefahr bedroht ist und sofortige Hilfe benötigt"
"Welche Priorität der Alarmierung ist zu wählen, wenn sich eine Person in Lebensgefahr befindet und Hilfe benötigt?";"Notfall";"Dringlichkeit";"Sicherheit";"Routine";"Notfall"
