Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Was ist eine Schiffsfunkstelle?;Mobile Funkstelle des Binnenschifffahrtsfunks;Mobile Funkstelle des mobilen Seefunkdienstes;Ortsfeste Funkstelle des Binnenschifffahrtsfunks;Ortsfeste Funkstelle des mobilen Seefunkdienstes;Mobile Funkstelle des Binnenschifffahrtsfunks
Wer darf eine Schiffsfunkstelle bedienen?;Inhaber eines gültigen Sprechfunkzeugnisses für den Binnenschifffahrtsfunk (UBI) oder eines gleichwertigen Zeugnisses;Personen, die ohne Aufsicht eines Funkzeugnisinhabers am Funkverkehr teilnehmen, sofern sie älter als 16 Jahre sind;Nur der Schiffsführer, sofern er über ein gültiges Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI) verfügt;Personen, die über einen gültigen Sportbootführerschein-Binnen und über die Erlaubnis des Schiffsführers verfügen;Inhaber eines gültigen Sprechfunkzeugnisses für den Binnenschifffahrtsfunk (UBI) oder eines gleichwertigen Zeugnisses
Der Betrieb einer Schiffsfunkstelle ohne Zuteilungsurkunde (Ship Station Licence) verstößt gegen Vorschriften…;des Telekommunikationsgesetzes (TKG);der Binnenschifffahrtstraßenordnung (BinSchStrO);des Gesetzes über Funkanlagen und Telekommunikationsendeinrichtungen (FTEG);der Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV);des Telekommunikationsgesetzes (TKG)
Die Bedienung einer Schiffsfunkstelle ohne Erlaubnis (UKW-Sprechfunkzeugnis) verstößt gegen Vorschriften…;der Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV);der Binnenschifffahrtstraßenordnung (BinSchStrO);des Gesetzes über Funkanlagen und Telekommunikationsendeinrichtungen (FTEG);des Telekommunikationsgesetzes (TKG);der Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV)
Welches amtliche Dokument für eine Schiffsfunkstelle muss sich an Bord befinden?;Zuteilungsurkunde (Ship Station Licence);UKW-Sprechfunkzeugnis (UBI);UKW-Betriebszeugnis;Zulassungsurkunde;Zuteilungsurkunde (Ship Station Licence)
Welche Teile des Handbuchs Binnenschifffahrtsfunk müssen bei einer Schiffsfunkstelle mitgeführt werden?;Allgemeiner Teil sowie Regionale Teile für die Strecken, in denen die Schiffsfunkstelle am Binnenschifffahrtsfunk teilnimmt;Regionale Teile für die Strecke, in der sich die Schiffsfunkstelle gerade befindet;Regionale Teile für alle europäischen Wasserstraßen;Allgemeiner Teil sowie Regionale Teile des Landes, in dem die Schiffsfunkstelle angemeldet wurde;Allgemeiner Teil sowie Regionale Teile für die Strecken, in denen die Schiffsfunkstelle am Binnenschifffahrtsfunk teilnimmt
Woraus besteht das Rufzeichen für eine deutsche Schiffsfunkstelle?;Zwei Buchstaben der Rufzeichenreihe für Deutschland, gefolgt von vier Ziffern;Vier Buchstaben der Rufzeichenreihe für Deutschland, gefolgt von vier Ziffern;Zwei Buchstaben der Rufzeichenreihe für Deutschland, gefolgt von zwei Ziffern;Vier Buchstaben der Rufzeichenreihe für Deutschland, gefolgt von zwei Ziffern;Zwei Buchstaben der Rufzeichenreihe für Deutschland, gefolgt von vier Ziffern
Was bedeutet ATIS?;Automatisches Senderidentifizierungssystem;Automatisches Schiffsidentifizierungssystem;Automatisches Verkehrsinformationssystem;Automatisches Transponderabfragesystem;Automatisches Senderidentifizierungssystem
Welchem Zweck dient die Aussendung eines ATIS-Codes?;Identifizierung einer Schiffsfunkstelle;Identifizierung einer Seefunkstelle;Identifizierung des Bedieners der Schiffsfunkstelle;Identifizierung des Verkehrskreises;Identifizierung einer Schiffsfunkstelle
Wann wird das ATIS-Signal ausgesendet?;Automatisch nach dem Loslassen der Sprechtaste;Automatisch beim Drücken der Sprechtaste;Automatisch alle 10 Minuten;Automatisch beim Kanalwechsel;Automatisch nach dem Loslassen der Sprechtaste
