Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Wo findet man die empfohlenen fremdsprachlichen Redewendungen für die Abwicklung des Binnenschifffahrtsfunks?;Regionale Teile des Handbuchs Binnenschifffahrtsfunk;Allgemeiner Teil des Handbuchs Binnenschifffahrtsfunk;Binnenschifffahrt-Sprechfunkverordnung;Binnenschifffahrtsstraßenordnung;Regionale Teile des Handbuchs Binnenschifffahrtsfunk
Wozu dient die Internationale Buchstabiertafel im Binnenschifffahrtsfunk?;Zum Buchstabieren schwieriger Wörter, Namen und Bezeichnungen innerhalb von Meldungen, um Übermittlungsfehler zu vermeiden;Zum Buchstabieren schwieriger Wörter, Namen und Bezeichnungen, um die Vorschriften der Binnenschifffahrt-Sprechfunkverordnung zu erfüllen;Zum Buchstabieren schwieriger Wörter, Namen und Bezeichnungen, um die Wichtigkeit der buchstabierten Begriffe zu betonen;Zum Buchstabieren schwieriger Wörter, Namen und Bezeichnungen, um Informationen zu verschlüsseln;Zum Buchstabieren schwieriger Wörter, Namen und Bezeichnungen innerhalb von Meldungen, um Übermittlungsfehler zu vermeiden
Wo findet man Angaben über die UKW-Kanäle, die im Binnenschifffahrtsfunk in bestimmten Regionen benutzt werden sollen?;Regionale Teile des Handbuchs Binnenschifffahrtsfunk;Schifffahrtspolizeiverordnungen, z.B. Rheinschifffahrtspolizeiverordnung;Binnenschifffahrtsstraßenordnung;Binnenschifffahrt-Sprechfunkverordnung;Regionale Teile des Handbuchs Binnenschifffahrtsfunk
Wie erfolgt die Leistungsreduzierung beim Sendebetrieb einer Schiffsfunkstelle auf dem UKW-Kanal 10?;Automatisch;Manuell;Durch die Revierzentrale;Durch längeres Drücken der Sendetaste;Automatisch
Mit welcher Leistung sendet eine Schiffsfunkstelle auf UKW-Kanal 10?;0,5 bis 1 Watt;2 bis 5 Watt;0,5 bis 25 Watt;10 bis 25 Watt;0,5 bis 1 Watt
Auf welchem UKW-Kanal müssen Schiffsfunkstellen unabhängig von dem befahrenen Streckenabschnitt während der Fahrt ständig empfangsbereit sein?;10;72;20;13;10
Welcher UKW-Kanal darf im Binnenschifffahrtsfunk auf den Bundeswasserstraßen der Zonen 3 und 4 nicht benutzt werden?;16;72;10;77;16
Wozu dienen im Binnenschifffahrtsfunk die UKW-Kanäle 72 und 77?;Funkverkehr sozialer Art;Nautische Absprachen;Funkverkehr mit einer Revierzentrale;Anrufe an eine Schleuse;Funkverkehr sozialer Art
Welche Fahrzeuge unterliegen auf bestimmten Wasserstraßen und an bestimmten Stellen einer Meldepflicht?;Gefahrgutschiffe und Sondertransporte;Motorfahrzeuge mit einer Gesamtlänge von mehr als 20 Metern;Fahrgastschiffe mit mehr als 20 Passagieren;Sportboote unter Segel;Gefahrgutschiffe und Sondertransporte
Vor jeder Aussendung ist durch kurzzeitiges Öffnen der Rauschsperre sicherzustellen, dass…;kein anderer Funkverkehr gestört wird;die Sendeleistung auf 25 Watt eingestellt ist;die ATIS-Kennung zuvor ausgesendet wird;der DSC-Controller ausgeschaltet ist;kein anderer Funkverkehr gestört wird
Was kann die Funkverbindung zwischen einer Schiffsfunkstelle und einer Seefunkstelle beeinträchtigen?;Die Schiffsfunkstelle sendet auf bestimmten UKW-Kanälen nur mit automatisch reduzierter Leistung;Die Seefunkstelle sendet auf bestimmten UKW-Kanälen nur mit automatisch reduzierter Leistung;Die Schiffsfunkstelle kann die AIS-Aussendung der Seefunkstelle auf bestimmten UKW-Kanälen nicht auswerten;Die Seefunkstelle kann die ATIS-Aussendung der Schiffsfunkstelle auf bestimmten UKW-Kanälen nicht auswerten;Die Schiffsfunkstelle sendet auf bestimmten UKW-Kanälen nur mit automatisch reduzierter Leistung
Warum dürfen Seefunkstellen mit ihrer Seefunkanlage nicht am Binnenschifffahrtsfunk teilnehmen?;Seefunkanlagen verfügen weder über eine automatische Sendeleistungsreduzierung auf bestimmten UKW-Kanälen noch können sie einen ATIS-Code aussenden;Seefunkanlagen nutzen ein anderes Frequenzband als Binnenschifffahrtsfunkanlagen;Seefunkanlagen verfügen über einen DSC-Controller, der mit dem ATIS-System nicht kompatibel ist;Seefunkanlagen ermöglichen die Hörbereitschaft auf den UKW-Kanälen 16 und 70;Seefunkanlagen verfügen weder über eine automatische Sendeleistungsreduzierung auf bestimmten UKW-Kanälen noch können sie einen ATIS-Code aussenden
Die Verwendung des Digitalen Selektivrufs (DSC) ist …;im Binnenschifffahrtsfunk nicht zulässig;eingeführt zur Verbindungsaufnahme mit anderen Schiffsfunkstellen;eingeführt zur Identifizierung von Schiffsfunkstellen;im Binnenschifffahrtsfunk zulässig für Notalarme;im Binnenschifffahrtsfunk nicht zulässig
Welche Sprache muss bei Verbindungen zwischen deutschen Schiffsfunkstellen und ausländischen Landfunkstellen benutzt werden?;Sprache des Landes, in dem sich die Landfunkstelle befindet;Heimatsprache des Funkers;Vorrangig Englisch;Vorrangig Deutsch;Sprache des Landes, in dem sich die Landfunkstelle befindet
Welche Bedeutung hat ein weißes Tafelzeichen mit rotem Rand und der schwarzen Aufschrift UKW 20 oder VHF 20?;Gebot, UKW-Kanal 20 zu benutzen;Gebot, eine Sendeleistung von 20 Watt zu gewährleisten;Hinweis, dass der Verkehrskreis Schiff Schiff auf UKW-Kanal 20 abzuwickeln ist;Hinweis, dass der UKW-Kanal 20 für die Nutzung durch die Berufsschifffahrt vorgesehen ist;Gebot, UKW-Kanal 20 zu benutzen
