Frage;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort
Welche Landfunkstellen sind zur Einleitung von Rettungsmaßnahmen vorzugsweise anzurufen?;Revierzentralen;Rettungsleitstellen;Schiffsfunkstellen;Polizeifunkstellen;Revierzentralen
Wie ist die Rangfolge des Funkverkehrs im Binnenschifffahrtsfunk?;Notverkehr, Dringlichkeitsverkehr, Sicherheitsverkehr, Routineverkehr;Dringlichkeitsverkehr, Notverkehr, Sicherheitsverkehr, Routineverkehr;Sicherheitsverkehr, Dringlichkeitsverkehr, Notverkehr, Routineverkehr;Notverkehr, Dringlichkeitsverkehr, Routineverkehr, Sicherheitsverkehr;Notverkehr, Dringlichkeitsverkehr, Sicherheitsverkehr, Routineverkehr
Wie heißt das Notzeichen im Sprechfunk?;MAYDAY;PAN PAN;SOS;SECURITE;MAYDAY
Welcher Funkverkehr ist einzuleiten, wenn sich an Bord eine lebensgefährlich verletzte Person befindet?;Notverkehr;Dringlichkeitsverkehr;Sicherheitsverkehr;Routineverkehr;Notverkehr
Welcher Funkverkehr ist einzuleiten, wenn eine Person über Bord gefallen ist?;Notverkehr;Dringlichkeitsverkehr;Sicherheitsverkehr;Routineverkehr;Notverkehr
Wer bestätigt eine Notmeldung im Verkehrskreis Nautische Information?;Ortsfeste Funkstelle;Behördenfahrzeug;In der Nähe befindliche Schiffsfunkstelle;Der Schiffsführer;Ortsfeste Funkstelle
Wer bestätigt eine Notmeldung im Verkehrskreis Schiff Schiff?;In der Nähe befindliche Schiffsfunkstelle;Ortsfeste Funkstelle;Verkehrsposten;Der Schiffsführer;In der Nähe befindliche Schiffsfunkstelle
Was bedeuten die Worte MAYDAY RELAY?;Aussendung einer Notmeldung durch eine Funkstelle, die sich selbst nicht in Not befindet;Beendigung einer Notmeldung durch die Funkstelle, die den Notverkehr leitet;Bestätigung des Empfangs einer Notmeldung;Notmeldung an eine Landstation mit der Bitte um Leitung des Notverkehrs;Aussendung einer Notmeldung durch eine Funkstelle, die sich selbst nicht in Not befindet
Was bedeuten die Worte SILENCE FINI?;Der Notverkehr ist beendet;Einer Funkstelle, die den Notverkehr stört, wird Funkstille geboten;Dringlichkeits- und Sicherheitsverkehr darf wieder aufgenommen werden;Alle Funkstellen müssen Funkstille einhalten;Der Notverkehr ist beendet
Was bedeuten die Worte SILENCE MAYDAY?;Die Funkstelle in Not gebietet den nicht am Notverkehr beteiligten Funkstellen Funkstille;Der Notverkehr ist beendet;Die am Notverkehr beteiligten Funkstellen genießen Vorrang;Eine Notmeldung folgt;Die Funkstelle in Not gebietet den nicht am Notverkehr beteiligten Funkstellen Funkstille
Wann liegt ein Dringlichkeitsfall vor?;Wenn dringende Nachrichten übermittelt werden sollen, welche die Besatzung und oder das Schiff betreffen, ohne dass eine unmittelbare Gefährdung gegeben ist;Wenn eine unmittelbare Gefährdung von Mensch oder Schiff gegeben ist oder eine Gefahrenabwehr an Land notwendig ist;Wenn dringende Nachrichten übermittelt werden sollen, welche den Empfang eines Notzeichens betreffen;Wenn dringende Nachrichten übermittelt werden sollen, welche die Unterstützung durch die Wasserschutzpolizei betreffen;Wenn dringende Nachrichten übermittelt werden sollen, welche die Besatzung und oder das Schiff betreffen, ohne dass eine unmittelbare Gefährdung gegeben ist
Wie lautet das Sicherheitszeichen im Sprechfunk?;SECURITE;MAYDAY;PAN PAN;SOS;SECURITE
Welche Meldungen werden mit dem Sicherheitszeichen SECURITE angekündigt?;Nachrichten, die eine wichtige nautische Warnnachricht oder eine wichtige Wetterwarnung beinhalten;Nachrichten, die eine wichtige nautische Warnnachricht oder den Radareinsatz bei unsichtigem Wetter beinhalten;Nachrichten, die eine wichtige Wetterwarnung oder eine Warnung zur Vermeidung von Umweltschäden beinhalten;Nachrichten, die eine wichtige nautische Warnnachricht oder eine dringende medizinische Meldung beinhalten;Nachrichten, die eine wichtige nautische Warnnachricht oder eine wichtige Wetterwarnung beinhalten
Welche Meldung ist zu verbreiten, wenn ein treibender Baumstamm beobachtet wird, der eine Gefahr für den Verkehr darstellt?;Sicherheitsmeldung;Notmeldung;Dringlichkeitsmeldung;keine Meldung;Sicherheitsmeldung
Welche Meldung ist zu verbreiten, wenn eine vertriebene Tonne beobachtet wird?;Sicherheitsmeldung;Notmeldung;Dringlichkeitsmeldung;keine Meldung;Sicherheitsmeldung
Wer entscheidet über die Art der auszusendenden Sprechfunkmeldung?;Schiffsführer;Bediener der Funkanlage;Wasserschutzpolizei;Revierzentrale;Schiffsführer
Welche Nachrichten werden im Verkehrskreis Schiff Hafenbehörde übermittelt?;Nachrichten über die Zuweisung von Liegeplätzen oder über die Fahrt in den Häfen;Nachrichten über den Zustand der Wasserstraßen, über Verkehrsberatung und zur Verkehrslenkung;Nachrichten, die sich auf Funkverkehr zwischen Schiffsfunkstellen beziehen;Nachrichten über schiffsbetriebliche Angelegenheiten;Nachrichten über die Zuweisung von Liegeplätzen oder über die Fahrt in den Häfen
Welche Kennung müssen Schiffsfunkstellen in den Verkehrskreisen Schiff Schiff, Nautische Information und Schiff Hafenbehörde im Sprechfunkverkehr verwenden?;Schiffsname und Rufzeichen;ATIS-Kennung;Rufnummer im Seefunkdienst (MMSI);Heimathafen;Schiffsname und Rufzeichen
