"Frage";"Antwort A";"Antwort B";"Antwort C";"Antwort D";"Richtige Antwort"
"Was ist eine Schiffsfunkstelle?";"Ortsfeste Funkstelle des Binnenschifffahrtsfunks";"Mobile Funkstelle des Binnenschifffahrtsfunks";"Ortsfeste Funkstelle des mobilen Seefunkdienstes";"Mobile Funkstelle des mobilen Seefunkdienstes";"Mobile Funkstelle des Binnenschifffahrtsfunks"
"Was ist eine Seefunkstelle?";"Funkstelle des Mobilen Seefunkdienstes an Bord eines nicht dauernd verankerten Seefahrzeuges";"Funkstelle des Mobilen Seefunkdienstes, die an Land als Küstenfunkstelle betrieben wird";"Funkstelle des Binnenschifffahrtsfunks im Seebereich";"Funkstelle des Mobilen Seefunkdienstes im Verkehrskreis Nautische Information";"Funkstelle des Mobilen Seefunkdienstes an Bord eines nicht dauernd verankerten Seefahrzeuges"
"Wer darf eine Schiffsfunkstelle bedienen?";"Nur der Schiffsführer mit UBI";"Personen mit Sportbootführerschein-Binnen und Erlaubnis des Schiffsführers";"Inhaber eines gültigen UBI oder gleichwertigen Zeugnisses";"Personen ab 16 ohne Aufsicht";"Inhaber eines gültigen UBI oder gleichwertigen Zeugnisses"
"Wer stellt in Deutschland die Ship Station Licence für eine Schiffsfunkstelle aus?";"Bundesamt für Seeschifffahrt und Hydrographie (BSH)";"Wasserstraßen- und Schifffahrtsamt (WSA)";"Bundesnetzagentur (BNetzA)";"Generaldirektion Wasserstraßen und Schifffahrt (GDWS)";"Bundesnetzagentur (BNetzA)"
"Der Betrieb einer Schiffsfunkstelle ohne Ship Station Licence verstößt gegen Vorschriften…";"der BinSchStrO";"des FTEG";"der BinSchSprFunkV";"des TKG";"des TKG"
"Die Bedienung einer Schiffsfunkstelle ohne Erlaubnis (UBI) verstößt gegen Vorschriften…";"des TKG";"der BinSchSprFunkV";"des FTEG";"der BinSchStrO";"der BinSchSprFunkV"
"Welches amtliche Dokument für eine Schiffsfunkstelle muss sich an Bord befinden?";"Zulassungsurkunde";"UKW-Betriebszeugnis";"UKW-Sprechfunkzeugnis (UBI)";"Zuteilungsurkunde (Ship Station Licence)";"Zuteilungsurkunde (Ship Station Licence)"
"Die telekommunikationsrechtliche Überprüfung einer Schiffsfunkstelle wird durchgeführt von…";"GDWS";"WSA";"BSH";"BNetzA";"BNetzA"
"Wer ist bei Eignerwechsel eines Binnenschiffes bezüglich der Schiffsfunkstelle zu benachrichtigen?";"WSA";"BNetzA";"GDWS";"BSH";"BNetzA"
"Wer ist bei technischen Änderungen an einer Schiffsfunkstelle schriftlich zu informieren?";"WSA";"BSH";"BNetzA";"GDWS";"BNetzA"
