"Frage";"Antwort A";"Antwort B";"Antwort C";"Antwort D";"Richtige Antwort"
"Welche Landfunkstellen sind zur Einleitung von Rettungsmaßnahmen vorzugsweise anzurufen?";"Rettungsleitstellen";"Polizeifunkstellen";"Revierzentralen";"Schiffsfunkstellen";"Revierzentralen"
"Wie ist die Rangfolge des Funkverkehrs im Binnenschifffahrtsfunk?";"Notverkehr, Dringlichkeitsverkehr, Sicherheitsverkehr, Routineverkehr";"Sicherheitsverkehr, Dringlichkeitsverkehr, Notverkehr, Routineverkehr";"Dringlichkeitsverkehr, Notverkehr, Sicherheitsverkehr, Routineverkehr";"Notverkehr, Dringlichkeitsverkehr, Routineverkehr, Sicherheitsverkehr";"Notverkehr, Dringlichkeitsverkehr, Sicherheitsverkehr, Routineverkehr"
"Wie heißt das Notzeichen im Sprechfunk?";"SOS";"SECURITE";"PAN PAN";"MAYDAY";"MAYDAY"
"Ein Notverkehr muss eingeleitet werden, wenn unmittelbare Gefährdung gegeben ist oder…";"gefährliche Wetterlagen auftreten";"eine Behinderung der Schifffahrt droht";"das Schiff manövrierunfähig ist";"eine Gefahrenabwehr an Land notwendig ist";"eine Gefahrenabwehr an Land notwendig ist"
"Welcher Funkverkehr ist einzuleiten, wenn an Bord eine lebensgefährlich verletzte Person ist?";"Routineverkehr";"Notverkehr";"Sicherheitsverkehr";"Dringlichkeitsverkehr";"Notverkehr"
"Welcher Funkverkehr ist einzuleiten, wenn eine Person über Bord gefallen ist?";"Sicherheitsverkehr";"Routineverkehr";"Notverkehr";"Dringlichkeitsverkehr";"Notverkehr"
"Welcher Funkverkehr ist einzuleiten, wenn das Fahrzeug in gefährlicher Weise zu kentern droht?";"Routineverkehr";"Dringlichkeitsverkehr";"Notverkehr";"Sicherheitsverkehr";"Notverkehr"
"Wer bestätigt eine Notmeldung im Verkehrskreis Nautische Information?";"In der Nähe befindliche Schiffsfunkstelle";"Der Schiffsführer";"Behördenfahrzeug";"Ortsfeste Funkstelle";"Ortsfeste Funkstelle"
"Wer bestätigt eine Notmeldung im Verkehrskreis Schiff–Schiff?";"Verkehrsposten";"Der Schiffsführer";"Ortsfeste Funkstelle";"In der Nähe befindliche Schiffsfunkstelle";"In der Nähe befindliche Schiffsfunkstelle"
"Was bedeuten die Worte MAYDAY RELAY?";"Bestätigung des Empfangs einer Notmeldung";"Notmeldung an eine Landstation mit der Bitte um Leitung";"Aussendung einer Notmeldung durch eine Funkstelle, die selbst nicht in Not ist";"Beendigung einer Notmeldung durch die leitende Funkstelle";"Aussendung einer Notmeldung durch eine Funkstelle, die selbst nicht in Not ist"
"Was bedeuten die Worte SILENCE FINI?";"Alle Funkstellen müssen Funkstille einhalten";"Dringlichkeits- und Sicherheitsverkehr darf wieder aufgenommen werden";"Einer störenden Funkstelle wird Funkstille geboten";"Der Notverkehr ist beendet";"Der Notverkehr ist beendet"
"Was bedeuten die Worte SILENCE MAYDAY?";"Eine Notmeldung folgt";"Der Notverkehr ist beendet";"Die Funkstelle in Not gebietet nicht beteiligten Funkstellen Funkstille";"Die beteiligten Funkstellen genießen Vorrang";"Die Funkstelle in Not gebietet nicht beteiligten Funkstellen Funkstille"
"Woraus besteht das Dringlichkeitszeichen im Sprechfunk?";"URGENT";"SECURITE";"PAN PAN";"MAYDAY";"PAN PAN"
"Wann liegt ein Dringlichkeitsfall vor?";"Wenn unmittelbare Gefährdung gegeben ist oder Gefahrenabwehr an Land notwendig ist";"Wenn dringende Nachrichten übermittelt werden sollen, die Besatzung und/oder Schiff betreffen, ohne unmittelbare Gefährdung";"Wenn dringende Nachrichten über Empfang eines Notzeichens betreffen";"Wenn Unterstützung durch Wasserschutzpolizei benötigt wird";"Wenn dringende Nachrichten übermittelt werden sollen, die Besatzung und/oder Schiff betreffen, ohne unmittelbare Gefährdung"
"Welche Meldungen können mit dem Dringlichkeitszeichen angekündigt werden?";"Unmittelbare Gefährdung von Mensch oder Schiff";"Nicht lebensgefährliche Krankheiten oder Schäden ohne unmittelbare Gefahr";"Lebensgefährliche Krankheiten oder schwere Schäden";"Krankheiten ohne Lebensgefahr, aber mit unmittelbarer Gefahr";"Nicht lebensgefährliche Krankheiten oder Schäden ohne unmittelbare Gefahr"
"Welcher Funkverkehr ist einzuleiten bei nicht lebensbedrohlicher Verletzung mit kurzfristigem Arztbedarf?";"Sicherheitsverkehr";"Routineverkehr";"Notverkehr";"Dringlichkeitsverkehr";"Dringlichkeitsverkehr"
"Welcher Funkverkehr ist einzuleiten bei Maschinenschaden, der die Sicherheit gefährden könnte?";"Notverkehr";"Routineverkehr";"Dringlichkeitsverkehr";"Sicherheitsverkehr";"Dringlichkeitsverkehr"
"Wie lautet das Sicherheitszeichen im Sprechfunk?";"PAN PAN";"SECURITE";"MAYDAY";"SOS";"SECURITE"
"Welche Meldungen werden mit SECURITE angekündigt?";"Wichtige nautische Warnnachricht oder wichtige Wetterwarnung";"Wichtige nautische Warnnachricht oder Radareinsatz";"Wichtige Wetterwarnung oder Umweltschadenswarnung";"Wichtige nautische Warnnachricht oder dringende medizinische Meldung";"Wichtige nautische Warnnachricht oder wichtige Wetterwarnung"
